Volume of peripheral cortical grey matter (normalised for head size);f.25001.2.0
Volume of peripheral cortical grey matter (normalised for head size);f.25001.3.0
Volume of ventricular cerebrospinal fluid (normalised for head size);f.25003.2.0
Volume of ventricular cerebrospinal fluid (normalised for head size);f.25003.3.0
Volume of grey matter (normalised for head size);f.25005.2.0
Volume of grey matter (normalised for head size);f.25005.3.0
Volume of white matter (normalised for head size);f.25007.2.0
Volume of white matter (normalised for head size);f.25007.3.0
Volume of thalamus (left);f.25011.2.0
Volume of thalamus (left);f.25011.3.0
Volume of thalamus (right);f.25012.2.0
Volume of thalamus (right);f.25012.3.0
Volume of caudate (left);f.25013.2.0
Volume of caudate (left);f.25013.3.0
Volume of caudate (right);f.25014.2.0
Volume of caudate (right);f.25014.3.0
Volume of putamen (left);f.25015.2.0
Volume of putamen (left);f.25015.3.0
Volume of putamen (right);f.25016.2.0
Volume of putamen (right);f.25016.3.0
Volume of pallidum (left);f.25017.2.0
Volume of pallidum (left);f.25017.3.0
Volume of pallidum (right);f.25018.2.0
Volume of pallidum (right);f.25018.3.0
Volume of hippocampus (left);f.25019.2.0
Volume of hippocampus (left);f.25019.3.0
Volume of hippocampus (right);f.25020.2.0
Volume of hippocampus (right);f.25020.3.0
Volume of amygdala (left);f.25021.2.0
Volume of amygdala (left);f.25021.3.0
Volume of amygdala (right);f.25022.2.0
Volume of amygdala (right);f.25022.3.0
Volume of accumbens (left);f.25023.2.0
Volume of accumbens (left);f.25023.3.0
Volume of accumbens (right);f.25024.2.0
Volume of accumbens (right);f.25024.3.0
Volume of grey matter in Frontal Pole (left);f.25782.2.0
Volume of grey matter in Frontal Pole (left);f.25782.3.0
Volume of grey matter in Frontal Pole (right);f.25783.2.0
Volume of grey matter in Frontal Pole (right);f.25783.3.0
Volume of grey matter in Insular Cortex (left);f.25784.2.0
Volume of grey matter in Insular Cortex (left);f.25784.3.0
Volume of grey matter in Insular Cortex (right);f.25785.2.0
Volume of grey matter in Insular Cortex (right);f.25785.3.0
Volume of grey matter in Superior Frontal Gyrus (left);f.25786.2.0
Volume of grey matter in Superior Frontal Gyrus (left);f.25786.3.0
Volume of grey matter in Superior Frontal Gyrus (right);f.25787.2.0
Volume of grey matter in Superior Frontal Gyrus (right);f.25787.3.0
Volume of grey matter in Middle Frontal Gyrus (left);f.25788.2.0
Volume of grey matter in Middle Frontal Gyrus (left);f.25788.3.0
Volume of grey matter in Middle Frontal Gyrus (right);f.25789.2.0
Volume of grey matter in Middle Frontal Gyrus (right);f.25789.3.0
Volume of grey matter in Inferior Frontal Gyrus, pars triangularis (left);f.25790.2.0
Volume of grey matter in Inferior Frontal Gyrus, pars triangularis (left);f.25790.3.0
Volume of grey matter in Inferior Frontal Gyrus, pars triangularis (right);f.25791.2.0
Volume of grey matter in Inferior Frontal Gyrus, pars triangularis (right);f.25791.3.0
Volume of grey matter in Inferior Frontal Gyrus, pars opercularis (left);f.25792.2.0
Volume of grey matter in Inferior Frontal Gyrus, pars opercularis (left);f.25792.3.0
Volume of grey matter in Inferior Frontal Gyrus, pars opercularis (right);f.25793.2.0
Volume of grey matter in Inferior Frontal Gyrus, pars opercularis (right);f.25793.3.0
Volume of grey matter in Precentral Gyrus (left);f.25794.2.0
Volume of grey matter in Precentral Gyrus (left);f.25794.3.0
Volume of grey matter in Precentral Gyrus (right);f.25795.2.0
Volume of grey matter in Precentral Gyrus (right);f.25795.3.0
Volume of grey matter in Temporal Pole (left);f.25796.2.0
Volume of grey matter in Temporal Pole (left);f.25796.3.0
Volume of grey matter in Temporal Pole (right);f.25797.2.0
Volume of grey matter in Temporal Pole (right);f.25797.3.0
Volume of grey matter in Superior Temporal Gyrus, anterior division (left);f.25798.2.0
Volume of grey matter in Superior Temporal Gyrus, anterior division (left);f.25798.3.0
Volume of grey matter in Superior Temporal Gyrus, anterior division (right);f.25799.2.0
Volume of grey matter in Superior Temporal Gyrus, anterior division (right);f.25799.3.0
Volume of grey matter in Superior Temporal Gyrus, posterior division (left);f.25800.2.0
Volume of grey matter in Superior Temporal Gyrus, posterior division (left);f.25800.3.0
Volume of grey matter in Superior Temporal Gyrus, posterior division (right);f.25801.2.0
Volume of grey matter in Superior Temporal Gyrus, posterior division (right);f.25801.3.0
Volume of grey matter in Middle Temporal Gyrus, anterior division (left);f.25802.2.0
Volume of grey matter in Middle Temporal Gyrus, anterior division (left);f.25802.3.0
Volume of grey matter in Middle Temporal Gyrus, anterior division (right);f.25803.2.0
Volume of grey matter in Middle Temporal Gyrus, anterior division (right);f.25803.3.0
Volume of grey matter in Middle Temporal Gyrus, posterior division (left);f.25804.2.0
Volume of grey matter in Middle Temporal Gyrus, posterior division (left);f.25804.3.0
Volume of grey matter in Middle Temporal Gyrus, posterior division (right);f.25805.2.0
Volume of grey matter in Middle Temporal Gyrus, posterior division (right);f.25805.3.0
Volume of grey matter in Middle Temporal Gyrus, temporooccipital part (left);f.25806.2.0
Volume of grey matter in Middle Temporal Gyrus, temporooccipital part (left);f.25806.3.0
Volume of grey matter in Middle Temporal Gyrus, temporooccipital part (right);f.25807.2.0
Volume of grey matter in Middle Temporal Gyrus, temporooccipital part (right);f.25807.3.0
Volume of grey matter in Inferior Temporal Gyrus, anterior division (left);f.25808.2.0
Volume of grey matter in Inferior Temporal Gyrus, anterior division (left);f.25808.3.0
Volume of grey matter in Inferior Temporal Gyrus, anterior division (right);f.25809.2.0
Volume of grey matter in Inferior Temporal Gyrus, anterior division (right);f.25809.3.0
Volume of grey matter in Inferior Temporal Gyrus, posterior division (left);f.25810.2.0
Volume of grey matter in Inferior Temporal Gyrus, posterior division (left);f.25810.3.0
Volume of grey matter in Inferior Temporal Gyrus, posterior division (right);f.25811.2.0
Volume of grey matter in Inferior Temporal Gyrus, posterior division (right);f.25811.3.0
Volume of grey matter in Inferior Temporal Gyrus, temporooccipital part (left);f.25812.2.0
Volume of grey matter in Inferior Temporal Gyrus, temporooccipital part (left);f.25812.3.0
Volume of grey matter in Inferior Temporal Gyrus, temporooccipital part (right);f.25813.2.0
Volume of grey matter in Inferior Temporal Gyrus, temporooccipital part (right);f.25813.3.0
